pivot,http://pivot.journals.yorku.ca/index.php/pivot/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22133%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
protem,http://protem.journals.yorku.ca/index.php/protem/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A2%3A%2297%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
public,http://public.journals.yorku.ca/index.php/public/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22138%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
refuge,http://refuge.journals.yorku.ca/index.php/refuge/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22130%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
scripta,http://scripta.journals.yorku.ca/index.php/scripta/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22169%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
socj,http://socj.journals.yorku.ca/index.php/socj/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22115%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
soi,http://soi.journals.yorku.ca/index.php/soi/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22111%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
tessera,http://tessera.journals.yorku.ca/index.php/tessera/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22126%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
theoriandpraxis,http://theoriandpraxis.journals.yorku.ca/index.php/theoriandpraxis/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22158%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
topia,http://topia.journals.yorku.ca/index.php/topia/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A2%3A%2284%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
torquere,http://torquere.journals.yorku.ca/index.php/torquere/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22161%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
tusaaji,http://tusaaji.journals.yorku.ca/index.php/tusaaji/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22134%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
yub,http://yub.journals.yorku.ca/index.php/yub/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22152%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
yujhs,http://yujhs.journals.yorku.ca/index.php/yujhs/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22143%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
yourreview,http://yourreview.journals.yorku.ca/index.php/yourreview/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22167%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
